pathway	pathway_name	L1	L2	gene_count	KO_count	EC_count
PATH:ath00902	Monoterpenoid biosynthesis	Metabolism	Metabolism of terpenoids and polyketides	7	4	4
PATH:ath00904	Diterpenoid biosynthesis	Metabolism	Metabolism of terpenoids and polyketides	22	9	9
PATH:ath00905	Brassinosteroid biosynthesis	Metabolism	Metabolism of terpenoids and polyketides	8	8	4
PATH:ath00906	Carotenoid biosynthesis	Metabolism	Metabolism of terpenoids and polyketides	29	20	20
PATH:ath00908	Zeatin biosynthesis	Metabolism	Metabolism of terpenoids and polyketides	23	7	4
PATH:ath00909	Sesquiterpenoid and triterpenoid biosynthesis	Metabolism	Metabolism of terpenoids and polyketides	23	16	15
PATH:ath00910	Nitrogen metabolism	Metabolism	Energy metabolism	43	13	11
PATH:ath00920	Sulfur metabolism	Metabolism	Energy metabolism	38	13	13
PATH:ath00940	Phenylpropanoid biosynthesis	Metabolism	Biosynthesis of other secondary metabolites	168	25	22
PATH:ath00941	Flavonoid biosynthesis	Metabolism	Biosynthesis of other secondary metabolites	22	12	12
PATH:ath00942	Anthocyanin biosynthesis	Metabolism	Biosynthesis of other secondary metabolites	2	2	2
PATH:ath00944	Flavone and flavonol biosynthesis	Metabolism	Biosynthesis of other secondary metabolites	4	4	3
PATH:ath00945	Stilbenoid, diarylheptanoid and gingerol biosynthesis	Metabolism	Biosynthesis of other secondary metabolites	7	4	4
PATH:ath00950	Isoquinoline alkaloid biosynthesis	Metabolism	Biosynthesis of other secondary metabolites	22	8	6
PATH:ath00960	Tropane, piperidine and pyridine alkaloid biosynthesis	Metabolism	Biosynthesis of other secondary metabolites	35	8	6
PATH:ath00965	Betalain biosynthesis	Metabolism	Biosynthesis of other secondary metabolites	2	2	2
PATH:ath00966	Glucosinolate biosynthesis	Metabolism	Biosynthesis of other secondary metabolites	23	18	15
PATH:ath00970	Aminoacyl-tRNA biosynthesis	Genetic Information Processing	Translation	115	47	22
PATH:ath01040	Biosynthesis of unsaturated fatty acids	Metabolism	Lipid metabolism	29	9	9
PATH:ath01502	Vancomycin resistance	Human Diseases	Drug resistance	1	1	1
PATH:ath02010	ABC transporters	Environmental Information Processing	Membrane transport	26	4	1
PATH:ath03008	Ribosome biogenesis in eukaryotes	Genetic Information Processing	Translation	101	59	11
PATH:ath03010	Ribosome	Genetic Information Processing	Translation	364	136	0
PATH:ath03013	RNA transport	Genetic Information Processing	Translation	171	95	6
PATH:ath03015	mRNA surveillance pathway	Genetic Information Processing	Translation	115	48	8
PATH:ath03018	RNA degradation	Genetic Information Processing	Folding, sorting and degradation	113	49	11
PATH:ath03020	RNA polymerase	Genetic Information Processing	Transcription	45	30	1
PATH:ath03022	Basal transcription factors	Genetic Information Processing	Transcription	55	30	2
PATH:ath03030	DNA replication	Genetic Information Processing	Replication and repair	50	32	6
PATH:ath03040	Spliceosome	Genetic Information Processing	Transcription	192	102	3
PATH:ath03050	Proteasome	Genetic Information Processing	Folding, sorting and degradation	60	36	1
PATH:ath03060	Protein export	Genetic Information Processing	Folding, sorting and degradation	54	26	4
PATH:ath03410	Base excision repair	Genetic Information Processing	Replication and repair	43	27	13
PATH:ath03420	Nucleotide excision repair	Genetic Information Processing	Replication and repair	69	37	6
PATH:ath03430	Mismatch repair	Genetic Information Processing	Replication and repair	39	21	3
PATH:ath03440	Homologous recombination	Genetic Information Processing	Replication and repair	67	34	8
PATH:ath03450	Non-homologous end-joining	Genetic Information Processing	Replication and repair	8	8	4
PATH:ath04016	MAPK signaling pathway - plant	Environmental Information Processing	Signal transduction	131	54	16
PATH:ath04070	Phosphatidylinositol signaling system	Environmental Information Processing	Signal transduction	76	21	19
PATH:ath04075	Plant hormone signal transduction	Environmental Information Processing	Signal transduction	273	44	10
PATH:ath04120	Ubiquitin mediated proteolysis	Genetic Information Processing	Folding, sorting and degradation	143	58	8
PATH:ath04122	Sulfur relay system	Genetic Information Processing	Folding, sorting and degradation	13	10	7
PATH:ath04130	SNARE interactions in vesicular transport	Genetic Information Processing	Folding, sorting and degradation	44	16	0
PATH:ath04136	Autophagy - other eukaryotes	Cellular Processes	Transport and catabolism	40	23	4
PATH:ath04141	Protein processing in endoplasmic reticulum	Genetic Information Processing	Folding, sorting and degradation	211	76	18
PATH:ath04144	Endocytosis	Cellular Processes	Transport and catabolism	144	54	5
PATH:ath04145	Phagosome	Cellular Processes	Transport and catabolism	82	26	3
PATH:ath04146	Peroxisome	Cellular Processes	Transport and catabolism	87	36	20
PATH:ath04626	Plant-pathogen interaction	Organismal Systems	Environmental adaptation	170	43	11
PATH:ath04712	Circadian rhythm - plant	Organismal Systems	Environmental adaptation	36	27	3
PATH:ath04933	AGE-RAGE signaling pathway in diabetic complications	Human Diseases	Endocrine and metabolic diseases	20	3	2
